Part_ID,Date,Employee,Work_Order,Model,Part_Number,Result,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,Test_8,Test_9,Test_10,Test_11,Test_12
6401601234569874,20/08/2026 16:34:23,45646,45654,ES-05585-1 640160,640160,FAIL,1.015949,0.915213,0.858565,0.830754,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.84703,0.845492,0.845364,0.844083,0.844211,0.843954,0.844083,0.844339,0.843442,0.844083,0.843185,0.843185,0.843826,0.843057,0.843442,0.843057,0.842288,0.842545,0.841904,0.841647,0.839853,0.839469,0.838059,0.837162,0.836649,0.834983,0.834983,0.833317,0.833573,0.833189,0.832676,0.832163,0.832163,0.831651,0.83242,0.831907,0.831907,0.831651,0.831523,0.831394,0.831394,0.831394,0.83101,0.830882,0.831266,0.830754,0.830241,0.831651,0.830497,0.830754,0.830754,0.830882,0.830241,0.830625,0.830754
6401601235469875,20/08/2026 16:36:10,45646,45654,ES-05585-1 640160,640160,FAIL,1.01454,0.915341,0.858052,0.830754,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.841391,0.841135,0.841519,0.840366,0.840622,0.840622,0.841263,0.84075,0.839597,0.841007,0.840366,0.839597,0.839853,0.840109,0.839981,0.839212,0.838956,0.838315,0.838443,0.837418,0.836521,0.835111,0.834086,0.833317,0.832804,0.833958,0.833317,0.832804,0.832804,0.832035,0.831651,0.831779,0.831907,0.831138,0.831138,0.831523,0.831266,0.831138,0.831779,0.830497,0.830625,0.831138,0.830497,0.830497,0.830625,0.830754,0.830369,0.829985,0.830625,0.831266,0.830625,0.8296,0.830882,0.830369,0.830497
6401601235894265,20/08/2026 16:38:38,45646,45654,ES-05585-1 640160,640160,FAIL,1.014796,0.914444,0.857668,0.829216,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.840238,0.838828,0.838956,0.83934,0.8387,0.83934,0.838828,0.838315,0.838315,0.838059,0.838059,0.838828,0.838059,0.837931,0.837931,0.837418,0.83729,0.837674,0.837803,0.836777,0.835752,0.835496,0.834855,0.834598,0.832932,0.833573,0.833189,0.832548,0.832163,0.832804,0.831651,0.831394,0.83101,0.831651,0.832163,0.831394,0.831138,0.831779,0.83101,0.831138,0.831266,0.83101,0.830625,0.830113,0.833189,0.832035,0.832292,0.831523,0.831651,0.830625,0.830882,0.83101,0.830369,0.830369,0.831266
6401601234567890,20/08/2026 16:40:49,45646,45654,ES-05585-1 640160,640160,FAIL,1.014796,0.9147,0.857155,0.830497,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.836008,0.835367,0.835752,0.834855,0.83588,0.835496,0.835111,0.835239,0.834855,0.835111,0.834983,0.841776,0.841135,0.842032,0.841007,0.837162,0.836265,0.844339,0.843442,0.843057,0.842929,0.842673,0.839981,0.839212,0.839597,0.838315,0.8387,0.841519,0.84216,0.838187,0.838059,0.841776,0.839725,0.853567,0.854336,1.099384,0.836905,0.854079,0.844723,0.841647,0.837803,0.837674,0.839469,0.837803,0.843442,0.836521,0.836649,0.835752,0.837418,0.835752,0.836393,0.835752,0.836777,0.839725,0.8387
6401601234567890,20/08/2026 16:42:29,45646,45654,ES-05585-1 640160,640160,FAIL,1.015309,0.913931,0.857155,0.832932,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.839725,0.839981,0.840878,0.842288,0.847415,0.84562,0.846774,0.846902,0.844211,0.843314,0.840622,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.906498,0.904832,0.902525,0.9015,0.900346,0.899705,0.898552,0.899065,0.898296,0.897655,0.896886,0.897142,0.896501,0.89586,0.893682,0.892656,0.889324,0.882275,0.872278,0.863435,0.85754,0.853823,0.849594,0.84844,0.845364,0.844467,0.843442,0.842545,0.841263,0.841519,0.840622,0.83934,0.839725,0.838956,0.837546,0.838187,0.837803,0.837674,0.836521,0.836008,0.835752,0.83588,0.836265,0.835111,0.835239
6401601234567890,20/08/2026 16:45:21,45646,45654,ES-05585-1 640160,640160,FAIL,1.015437,0.914572,0.857796,0.83242,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.83729,0.843314,0.844467,0.848696,0.844595,0.845877,0.843826,0.842673,0.843314,0.842416,0.84498,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.871125,0.870612,0.8701,0.868946,0.868434,0.867408,0.867408,0.866255,0.866767,0.866639,0.866383,0.866255,0.866511,0.865101,0.865229,0.864589,0.864332,0.863563,0.863051,0.86241,0.860103,0.85818,0.855361,0.854079,0.850747,0.849465,0.856386,0.855745,0.854848,0.854336,0.852285,0.851644,0.849209,0.847415,0.846261,0.844852,0.843954,0.843442,0.841904,0.841647,0.840238,0.840109,0.839981,0.839084,0.839084
6401601234567890,20/08/2026 16:47:13,45646,45654,ES-05585-1 640160,640160,FAIL,1.015437,0.914957,0.857796,0.833317,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.843954,0.850875,0.858437,0.853695,0.84985,0.846389,0.848696,0.848312,0.848184,0.847287,0.844595,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.880609,0.880225,0.878174,0.877405,0.876251,0.875995,0.875739,0.875483,0.874842,0.875226,0.87356,0.874329,0.873047,0.873432,0.872919,0.873047,0.871638,0.869715,0.868177,0.863948,0.859334,0.854976,0.852669,0.850106,0.84844,0.846902,0.845364,0.845236,0.843954,0.843442,0.842545,0.841519,0.840878,0.840238,0.839853,0.8387,0.838828,0.837674,0.837931,0.837931,0.837674,0.83729,0.837034,0.836265,0.835752
6401601234567890,20/08/2026 16:48:54,45646,45654,ES-05585-1 640160,640160,FAIL,1.015693,0.915085,0.85754,0.837546,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.8519,0.857796,0.85754,0.863435,0.860103,0.862154,0.861128,0.849465,0.847799,0.85331,0.855745,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.885736,0.884069,0.883044,0.881506,0.880737,0.878943,0.879327,0.878302,0.878558,0.878815,0.878046,0.877405,0.878174,0.876892,0.876251,0.875354,0.874842,0.872022,0.868434,0.862794,0.858437,0.855617,0.852669,0.850363,0.848825,0.846902,0.845492,0.844595,0.843442,0.843698,0.842288,0.841904,0.84216,0.840622,0.840622,0.840622,0.839853,0.839725,0.8387,0.839853,0.838315,0.83729,0.8387,0.838443,0.837546
6401601234567890,20/08/2026 16:51:00,45646,45654,ES-05585-1 640160,640160,FAIL,1.015052,0.9147,0.857668,0.838443,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.849978,0.867152,0.862666,0.857283,0.853823,0.852926,0.852798,0.852029,0.850875,0.855233,0.855745,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,0.87638,0.87497,0.873047,0.872791,0.871381,0.870612,0.870356,0.871253,0.869843,0.869971,0.869971,0.869459,0.868305,0.868946,0.86869,0.868434,0.867536,0.86587,0.865101,0.86382,0.860487,0.856258,0.853567,0.852285,0.85126,0.848825,0.847287,0.846133,0.845492,0.845236,0.844595,0.843185,0.842801,0.842801,0.841904,0.841263,0.841647,0.84075,0.841391,0.84075,0.841263,0.841135,0.840622,0.841135,0.840109
6401601234567895,21/08/2026 09:42:39,121,12,ES-05585-1 640160,640160,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
